Manufacturer,Model,ICAO Type Designator,ICAO Legacy WTC,RECAT-EU WTC
AERO-EAST-EUROPE,SILA-450,S450,L,CAT-F
STEWART (1),S-51D,S51D,L,CAT-F
STEMME,S-6,S6,L,CAT-F
AEROSPATIALE,SN-601 Corvette,S601,L,CAT-F
SIPA,S-904,S900,L,CAT-F
K & S,Cavalier (SA-102.5),SA02,L,CAT-F
K & S,SA-103 Cavalier,SA03,L,CAT-F
K & S,SA-104 Cavalier,SA04,L,CAT-F
K & S,Super Cavalier,SA05,L,CAT-F
STOLP,Starduster,SA10,L,CAT-F
STITS,Playmate,SA11,L,CAT-F
ICP,SA-2 Vimana,SA2,L,CAT-F
STITS,Playboy,SA3,L,CAT-F
STOLP,SA-300 Starduster Too,SA30,L,CAT-F
SCHWEIZER,Condor,SA37,L,CAT-F
SCHWEIZER,SA-2-38A Twin Condor,SA38,L,CAT-F
STOLP,SA-500 Starlet,SA50,L,CAT-F
STITS,SA-6 Flut-R-Bug,SA6,L,CAT-F
SREYA,SA-6 Envoy,SA6E,L,CAT-F
STITS,Sky-Coupe,SA7,L,CAT-F
STOLP,Acroduster,SA70,L,CAT-F
STOLP,Acroduster Too,SA75,L,CAT-F
SCHWEIZER,SA-2-38B Twin Condor,SA8T,L,CAT-F
KEUTHAN,Sabre 2,SAB2,L,CAT-F
PARAVAR PARS,Saba,SABA,L,CAT-F
POBER,Super Ace,SACE,L,CAT-F
SMITH (3),Acro Advanced,SACR,L,CAT-F
HALSTED,Saffire,SAFF,L,CAT-F
TRAGO MILLS,SAH-1,SAH1,L,CAT-F
RANS,Sakota,SAKO,L,CAT-F
SKYGEAR,Albatross,SALB,L,CAT-F
SAM AIRCRAFT,Sam,SAM,L,CAT-F
PIEL,Saphir,SAPH,L,CAT-F
SHARK AIRCRAFT,Shark,SASH,L,CAT-F
SUPERMARINE,Spitfire Mk25,SASP,L,CAT-F
PROTECH,Sassy,SASY,L,CAT-F
HISPANO,HA-220 Super Saeta,SATA,L,CAT-F
SADLER,Vampire,SAVA,L,CAT-F
ZLIN AVIATION,Savage,SAVG,L,CAT-F
SAAB,105,SB05,L,CAT-F
SAAB,2000,SB20,M,CAT-E
SAAB,29,SB29,M,CAT-F
SAAB,Lansen,SB32,M,CAT-F
VALMET,Draken,SB35,M,CAT-E
SAAB,AJS37 Viggen,SB37,M,CAT-E
SAAB,Gripen,SB39,M,CAT-F
SEABIRD,SB-7 Seeker,SB7,L,CAT-F
SAAB,91 Safir,SB91,L,CAT-F
DOUGLAS,A-24 Dauntless,SBD,L,CAT-F
SLIPSTREAM,SkyBlaster,SBLS,L,CAT-F
E & K,SBM-03 Kos,SBM3,L,CAT-F
INTERPLANE,Skyboy,SBOY,L,CAT-F
ROCKWELL,Sabre 65,SBR1,M,CAT-F
ROCKWELL,Sabre 80,SBR2,M,CAT-F
GYROFLUG,SC-01 Speed Canard,SC01,L,CAT-F
SHORT,SC-7 Skyvan,SC7,L,CAT-F
AGRO-COPTEROS,Scamp,SCAM,L,CAT-F
SLIPSTREAM,Scepter,SCEP,L,CAT-F
SKYGEAR,Comet,SCOM,L,CAT-F
AKAFLIEG MUNCHEN,Schlacro,SCRO,L,CAT-F
FLAGLOR,Scooter,SCTR,L,CAT-F
AERO KUHLMANN,Scub,SCUB,L,CAT-F
SCWAL,101,SCW1,L,CAT-F
SKYDANCER,SD-260,SD26,L,CAT-F
TOMARK,Viper,SD4,L,CAT-F
STOLP,Super Starduster,SDUS,L,CAT-F
RAF,SE-5A Replica,SE5A,L,CAT-F
REPLICA PLANS,SE-5A Replica,SE5R,L,CAT-F
SERVOPLANT,Aerocraft,SERA,L,CAT-F
VIKING (1),SF-2 Cygnet,SF2,L,CAT-F
SCHEIBE,Sperling,SF23,L,CAT-F
SCHEIBE,Motorspatz,SF24,L,CAT-F
VICKERS-SLINGSBY,T-61 Venture,SF25,L,CAT-F
SCHEIBE,SF-27M,SF27,L,CAT-F
SCHEIBE,SF-28 Tandem Falke,SF28,L,CAT-F
SPORTAVIA-PUTZER,SFS-31 Milan,SF31,L,CAT-F
SCHEIBE,SF-32,SF32,L,CAT-F
SAAB-FAIRCHILD,SF-340,SF34,M,CAT-F
SCHEIBE,SF-35,SF35,L,CAT-F
SCHEIBE,SF-36,SF36,L,CAT-F
CIRRUS,SJ-X Vision,SF50,L,CAT-F
SCHWEIZER,TG-7,SG37,L,CAT-F
GLASS,STOLGlass,SG70,L,CAT-F
TECHNOAVIA,SM-92T Turbo Finist,SG92,L,CAT-F
STORMAIRCRAFT,Rally,SGRA,L,CAT-F
AERO SPACELINES,377SGT Super Guppy,SGUP,M,CAT-D
SHORT,C-23 Sherpa,SH33,M,CAT-F
SHORT,SD3-60,SH36,M,CAT-F
AVRO,696 Shackleton,SHAC,M,CAT-D
HAWKER,Sea Hawk,SHAW,M,CAT-F
RANS,S-16 Shekari,SHEK,L,CAT-F
SHERPA,Sherpa,SHER,L,CAT-F
MERCURY,Shoestring,SHOE,L,CAT-F
SALVAY-STARK,Skyhopper,SHOP,L,CAT-F
HIGHER CLASS,Super Hornet,SHOR,L,CAT-F
SHARK AERO,Shark,SHRK,L,CAT-F
FLAGLOR,Sherpa K-650T,SHRT,L,CAT-F
SMYTH,S Sidewinder,SIDE,L,CAT-F
ELITAR,Sigma,SIGM,L,CAT-F
SILHOUETTE,Silhouette,SILH,L,CAT-F
RHEIN,Sirius 2,SIR2,L,CAT-F
TECNAM,P-2002 Sierra,SIRA,L,CAT-F
SWEARINGEN,SJ-30,SJ30,L,CAT-F
SKYETON,Swift,SK10,L,CAT-F
STARKRAFT,SK-700,SK70,L,CAT-F
III,Sky Arrow,SKAR,L,CAT-F
SYNAIRGIE,Sky Ranger,SKRA,L,CAT-F
OMA SUD,Skycar,SKYC,L,CAT-F
SKYOTE AEROMARINE,Skyote,SKYO,L,CAT-F
REARWIN,Skyranger,SKYR,L,CAT-F
STAR-LITE,Star-Lite,SL1,L,CAT-F
MAPO,SL-39,SL39,L,CAT-F
MAPO,I-1,SL90,L,CAT-F
SCALED,351 Stratolaunch,SLCH,H,Special
AIRPLANE FACTORY,Sling 2,SLG2,L,CAT-F
AIRPLANE FACTORY,Sling 4,SLG4,L,CAT-F
SLICK,360,SLK3,L,CAT-F
SLICK,540,SLK5,L,CAT-F
STERN-MALLICK,Vega,SM01,L,CAT-F
SIAI-MARCHETTI,SM-1019,SM19,L,CAT-F
TECHNOAVIA,SM-2000,SM20,L,CAT-F
STINSON,T Tri-Motor,SM60,L,CAT-F
ZLIN,Rhino,SM92,L,CAT-F
DASSAULT,Super Mystère B2,SMB2,M,CAT-F
TECNAM,FR-01 Snap,SNAP,L,CAT-F
LANCAIR,Synergy,SNGY,L,CAT-F
VSR,SR-1 Snoshoo,SNOS,L,CAT-F
SORRELL,SNS-2 Guppy,SNS2,L,CAT-F
SORRELL,SNS-7 Hiperbipe,SNS7,L,CAT-F
SORRELL,EXP-2,SNS9,L,CAT-F
AIRSPORT,Sonata,SNTA,L,CAT-F
SOKO,2,SOK2,L,CAT-F
MRAZ,M-1 Sokol,SOKL,L,CAT-F
SOLAR IMPULSE,1,SOL1,L,CAT-F
SOLAR IMPULSE,2,SOL2,L,CAT-F
RUTAN,77 Solitaire,SOLI,L,CAT-F
SONEX,Sonex,SONX,L,CAT-F
ACS,Sora,SORA,L,CAT-F
NEW MEYERS,SP-20,SP20,L,CAT-F
SPECTRUM,S-33 Independence,SP33,L,CAT-F
TECHNOAVIA,SP-55,SP55,L,CAT-F
SAUSER,P-6E Replica,SP6E,L,CAT-F
SPARTAN,UC-71 Executive,SP7,L,CAT-F
TECHNOAVIA,SP-91 Slava,SP91,L,CAT-F
TECHNOAVIA,SP-95,SP95,L,CAT-F
STARK-TREFETHEN,Sport-Aire 2,SPA2,L,CAT-F
III,Speed Arrow,SPAR,L,CAT-F
SPECTER,Specter 2,SPC2,L,CAT-F
REARWIN,6000 Speedster,SPDR,L,CAT-F
LOEHLE,Spitfire Elite,SPEL,L,CAT-F
QUESTAIR,Spirit,SPIR,L,CAT-F
SUPERMARINE,Spitfire,SPIT,L,CAT-F
AMAX,Sport 1700,SPOR,L,CAT-F
CARLSON,Sparrow-ette,SPR2,L,CAT-F
PRACTAVIA,Sprite,SPRT,L,CAT-F
REARWIN,7000 Sportster,SPST,L,CAT-F
SOPWITH,Pup Replica,SPUP,L,CAT-F
KLS COMPOSITES,SQ-2000,SQ2T,L,CAT-F
SLIPSTREAM,SkyQuest,SQES,L,CAT-F
EURODISPLAY,Magic,SR01,L,CAT-F
CIRRUS,SR-20 SRV,SR20,L,CAT-F
CIRRUS,SR-22,SR22,L,CAT-F
SPORT RACER,Sport Racer,SRAC,L,CAT-F
MONNETT,Sonerai,SRAI,L,CAT-F
D'APUZZO,Senior Aero Sport,SRAS,L,CAT-F
THRUSH,Thrush 400,SS2P,L,CAT-F
THRUSH,S-2RHG-T34 Turbo,SS2T,L,CAT-F
NORTH AMERICAN,F-100 Super Sabre,SSAB,M,CAT-F
SPEEDTWIN,E2E Speedtwin,ST1,L,CAT-F
STEARMAN,C-3,ST3,L,CAT-F
STEARMAN,4 Senior Speedmail,ST4,L,CAT-F
STEARMAN,6 Cloudboy,ST6,L,CAT-F
SOCATA,Provence,ST10,L,CAT-F
WINGTIP TO WINGTIP,S-330,ST30,L,CAT-F
STAUDACHER,S-600,ST60,L,CAT-F
STEARMAN,PT-17 Kaydet,ST75,L,CAT-F
STERN,ST-87 Europlane,ST87,L,CAT-F
AIRCRAFT DESIGNS,Stallion,STAL,L,CAT-F
RAYTHEON,2000 Starship,STAR,L,CAT-F
AIRCRAFT DESIGNS,Turbine Stallion,STAT,L,CAT-F
FLY SYNTHESIS,Storch,STCH,L,CAT-F
STATLER,Firefly,STFF,L,CAT-F
TERZI,Stiletto,STIL,L,CAT-F
HELIO,Stallion,STLN,L,CAT-F
STORCH AVIATION,SS-4 Super Storch,STOR,L,CAT-F
STROJNIK,S-2,STR2,L,CAT-F
STRIPLIN,Sky Ranger,STRA,L,CAT-F
TL ULTRALIGHT,Stream,STRE,L,CAT-F
ST. CROIX,Sopwith Triplane,STRI,L,CAT-F
BRITISH AEROSPACE,Strikemaster,STRK,L,CAT-F
STORMAIRCRAFT,Storm,STRM,L,CAT-F
CFM,Star Streak,STST,L,CAT-F
SUKHOI,Su-22,SU17,M,CAT-E
SUKHOI,Su-24,SU24,M,CAT-E
SUKHOI,Su-25 Scorpion,SU25,M,CAT-E
SUKHOI,Su-26,SU26,L,CAT-F
SUKHOI,JJ-11,SU27,M,CAT-E
SUKHOI,Su-29,SU29,L,CAT-F
SUKHOI,Su-31,SU31,L,CAT-F
SUKHOI,Su-38,SU38,L,CAT-F
SUKHOI,Su57,SU57,M,CAT-E
SUKHOI,Su-7,SU7,M,CAT-F
SUKHOI,Su-80,SU80,M,CAT-F
SUKHOI,Superjet 100-95,SU95,M,CAT-E
FUJI,Aero Subaru,SUBA,L,CAT-F
VERILITE,100 Sunbird,SUNB,L,CAT-F
FOKKER,Super Universal,SUNV,L,CAT-F
IPT,IPT-16 Surubim,SURU,L,CAT-F
VSTOL,Super Solution,SUSO,L,CAT-F
STAMPE,SV-4,SV4,L,CAT-F
ICP,MXP-740 Savannah,SVNH,L,CAT-F
SKYWOOD,SW-18 Teddy,SW18,L,CAT-F
SWEARINGEN,SA-26 Merlin 2,SW2,L,CAT-F
SWEARINGEN,Merlin 3,SW3,L,CAT-F
SWEARINGEN,SA-226AT Merlin 4,SW4,L/M,CAT-F
WARNER (2),Sportster,SWAK,L,CAT-F
BHARAT,Swati,SWAT,L,CAT-F
SUPERMARINE,Swift,SWIF,M,CAT-F
S-WING,S-Wing,SWIN,L,CAT-F
FAIREY,Swordfish,SWOR,L,CAT-F
SWEARINGEN,SX-300,SX30,L,CAT-F
SYMPHONY,Symphony,SYMP,L,CAT-F
FLY SYNTHESIS,Syncro,SYNC,L,CAT-F
SZD,Ogar,SZ45,L,CAT-F
YALO,SZD-9bis Bocian M-,SZ9M,L,CAT-F
FUJI,T-1,T1,L,CAT-F
TMM-AVIA,T-10 Avia-Tor,T10,L,CAT-F
AEROPROGRESS,T-101 Grach,T101,L,CAT-F
TUPOLEV,Tu-134,T134,M,CAT-E
TUPOLEV,Tu-154,T154,M,CAT-D
TUPOLEV,Tu-160,T160,H,Special
THORP,T-18 Tiger,T18,L,CAT-F
THK,Speedfire,T19,L,CAT-F
ROCKWELL,Buckeye,T2,L,CAT-F
TUPOLEV,Tu-214,T204,M,CAT-C
CESSNA,T206 Turbo Stationair,T206,L,CAT-F
CESSNA,T210 Turbo Centurion,T210,L,CAT-F
VENTURE,T-211,T211,L,CAT-F
TUPOLEV,Tu-22M,T22M,M,CAT-C
BELLANCA,Aries,T250,L,CAT-F
SUD,Fennec,T28,L,CAT-F
TERZI,Katana,T30,L,CAT-F
LOCKHEED,L-580 T-Bird,T33,M,CAT-F
TUPOLEV,Tu-334,T334,M,CAT-E
FUJI,Mentor,T34P,L,CAT-F
FUJI,T-3Kai,T34T,L,CAT-F
TEMCO,T-35 Buckaroo,T35,L,CAT-F
CESSNA,318B,T37,L,CAT-F
NORTHROP,AT-38 Talon,T38,L,CAT-F
KAWASAKI,T-4,T4,M,CAT-F
TURNER,T-40,T40,L,CAT-F
KHRUNICHEV,T-411 Aist,T411,L,CAT-F
KHRUNICHEV,T-415 Snegir,T415,L,CAT-F
KHRUNICHEV,Strekoza,T419,L,CAT-F
FUJI,KM-2D,T5,L,CAT-F
CESSNA,AT-8 Bobcat,T50,L,CAT-F
TITAN,Mustang,T51,L,CAT-F
NORTH AMERICAN,Harvard,T6,L,CAT-F
FUJI,T-7,T7,L,CAT-F
TAYLORCRAFT (1),15 Foursome,TA15,L,CAT-F
TAYLORCRAFT (1),20 Ranchwagon,TA20,L,CAT-F
TOYOTA,TAA-1,TAA1,L,CAT-F
TEAM TANGO,Tango-2,TAGO,L,CAT-F
WITTMAN,W-8 Tailwind,TAIL,L,CAT-F
SOCATA,Tampico,TAMP,L,CAT-F
ANAHUAC,Tauro,TARO,L,CAT-F
PELEGRIN,Tarragon,TARR,L,CAT-F
TAYLOR-YOUNG,A,TAYA,L,CAT-F
TAYLOR-YOUNG,BC,TAYB,L,CAT-F
TAYLORCRAFT (1),DC,TAYD,L,CAT-F
AMC,Texas Bullet 205,TB05,L,CAT-F
SOCATA,Trinidad,TB20,L,CAT-F
SOCATA,Trinidad TC,TB21,L,CAT-F
SOCATA,Epsilon,TB30,L,CAT-F
SOCATA,Omega,TB31,L,CAT-F
GRUMMAN,Avenger,TBM,M,CAT-F
TBM,TBM-700,TBM7,L,CAT-F
SOCATA,TBM-850,TBM8,L,CAT-F
SOCATA,TBM-900,TBM9,L,CAT-F
GOLDEN CIRCLE,T-Bird 2 Cargo,TBR3,L,CAT-F
AERO MIRAGE,TC-2,TC2,L,CAT-F
GRUMMAN,Tigercat,TCAT,M,CAT-F
HELIO,U-5 Twin Courier,TCOU,L,CAT-F
TAIWAN DANCER,TD-1,TD1,L,CAT-F
TURBINE DESIGN,TD-2 Tempest,TD2,L,CAT-F
TAIWAN DANCER,Alluvion Legend,TD3,L,CAT-F
TRIKE ICAROS,Adventure,TIAD,L,CAT-F
SMITH (2),Termite,TERM,L,CAT-F
FOXCON,Terrier,TERR,L,CAT-F
RAYTHEON,Harvard 2,TEX2,L,CAT-F
FLY SYNTHESIS,Texan,TEXA,L,CAT-F
TAYLORCRAFT (1),F-19 Sportsman,TF19,L,CAT-F
TAYLORCRAFT (1),F-21,TF21,L,CAT-F
TAYLORCRAFT (1),Classic,TF22,L,CAT-F
TECHNOFLUG,TFK-2 Carat,TFK2,L,CAT-F
THUNDER WINGS,Focke-Wulf Fw-190,TFOC,L,CAT-F
VALENTIN,Taifun,TFUN,L,CAT-F
LANCAIR,Tigress,TGRS,L,CAT-F
TIPSY,Junior,TIJU,L,CAT-F
TIPSY,B,TIPB,L,CAT-F
TAM,TAM-Jet,TJET,L,CAT-F
TL ULTRALIGHT,Sting,TL20,L,CAT-F
TL ULTRALIGHT,Sirius,TL30,L,CAT-F
PERFORMANCE,Turbine Legend,TLEG,L,CAT-F
TM AIRCRAFT,TM-5,TM5,L,CAT-F
FISHER,R-80 Tiger Moth,TMOT,L,CAT-F
PAPA 51,Thunder Mustang,TMUS,L,CAT-F
TEMCO,Twin Navion,TNAV,L,CAT-F
DREAM,Tundra,TNDR,L,CAT-F
SOCATA,Tobago,TOBA,L,CAT-F
MEYER,Little Toot,TOOT,L,CAT-F
PANAVIA,Tornado,TOR,M,CAT-E
VICTA,Airtourer,TOUR,L,CAT-F
CAG,Toxo,TOXO,L,CAT-F
THUNDER WINGS,Curtiss P-40,TP40,L,CAT-F
ENAER,T-35DT Turbo Pillán,TPIL,L,CAT-F
SCOTTISH AVIATION,Twin Pioneer,TPIN,L,CAT-F
TECH'AERO,TR-200,TR20,L,CAT-F
FEUGRAY,Sirius,TR26,L,CAT-F
3XTRIM,Navigator 600,TR55,L,CAT-F
GROPPO,Trial,TRAL,L,CAT-F
CAPELLA,T-Raptor,TRAP,L,CAT-F
PODESVA,Trener Baby,TRBA,L,CAT-F
TITAN,Tornado SS,TRDO,L,CAT-F
TEAM ROCKET,F-1,TRF1,L,CAT-F
FORD,Tri-Motor,TRIM,L,CAT-F
PILATUS BRITTEN-,BN-2A Mk3 Trislander,TRIS,L,CAT-F
STINSON,A Tri-Motor,TRMA,L,CAT-F
PACIFIC AIRMOTIVE,Tradewind,TRWN,L,CAT-F
PZL-MIELEC,Iskra,TS11,L,CAT-F
TEST,Bonus,TS14,L,CAT-F
JONKER,JS-1TJ Revelation,TS1J,L,CAT-F
PZL-MIELEC,Bies,TS8,L,CAT-F
THUNDER WINGS,Supermarine Spitfire,TSPT,L,CAT-F
TERRAFUGIA,Transition,TSTN,L,CAT-F
HUMBERT,Tetras,TTRS,L,CAT-F
PARKER,Teenie Two,TTWO,L,CAT-F
XIAN,H-6,TU16,M,CAT-D
TUPOLEV,Tu-22,TU22,M,CAT-C
TUPOLEV,Tu-142,TU95,H,CAT-C
SHORT,S-312 Tucano,TUCA,L,CAT-F
PODESVA,Amigo,TUL3,L,CAT-F
AVRO,Tutor,TUTR,L,CAT-F
TRAVEL AIR,4,TVL4,L,CAT-F
TRAVEL AIR,2000,TVLB,L,CAT-F
TECNAM,P-2010 Twenty-Ten,TWEN,L,CAT-F
DYN'AERO,Twin-R,TWIR,L,CAT-F
TIME WARP,Spitfire,TWSP,L,CAT-F
IRIAF,JT-2-2 Tazarve,TZRV,L,CAT-F
PHOENIX AIR,U-15 Phoenix,U15,L,CAT-F
LOCKHEED,ER-2,U2,M,CAT-F
BEECH,U-21A Ute,U21,L,CAT-F
BEECH,1079,U22,L,CAT-F
AUSTRALITE,Ultrabat,UBAT,L,CAT-F
URBAN,Samba,UF10,L,CAT-F
URBAN,Lambada,UF13,L,CAT-F
ULTIMATE,Albertan,UL10,L,CAT-F
ULTIMATE,20,UL20,L,CAT-F
AEROS,UL-2000 Flamingo,UL2F,L,CAT-F
3XTRIM,450 Ultra,UL45,L,CAT-F
ULLMANN,Panther,ULPA,L,CAT-F
NEIVA,Universal,UNIV,L,CAT-F
IBIS (2),Arrow,URRA,L,CAT-F
UTVA,60,UT60,L,CAT-F
UTVA,Privrednik,UT65,L,CAT-F
UTVA,66,UT66,L,CAT-F
UTVA,V-53,UT75,L,CAT-F
UDET,Flamingo Replica,UU12,L,CAT-F
GRUMMAN,AO-1 Mohawk,V1,M,CAT-F
ROCKWELL,Bronco,V10,L,CAT-F
MSW,Votec 221,V221,L,CAT-F
MSW,Votec 252,V252,L,CAT-F
MSW,Votec 322,V322,L,CAT-F
MSW,Votec 351,V351,L,CAT-F
MSW,Votec 452,V452,L,CAT-F
BEACHNER,V-8 Special,V8SP,L,CAT-F
AIRBUS,VAH-001 Vahana,VAH1,L,CAT-F
VULTEE,BT-13 Valiant,VALI,L,CAT-F
F+W EMMEN,Vampire,VAMP,L,CAT-F
VISIONAIRE,VA-10 Vantage,VANT,L,CAT-F
SUD,SO-4050 Vautour,VAUT,M,CAT-E
VELOCITY,Velocity,VELO,L,CAT-F
VELOCITY,Velocity V-Twin,VELT,L,CAT-F
SCHEMPP-HIRTH,Ventus 2CM,VENT,L,CAT-F
RUTAN,33 VariEze,VEZE,L,CAT-F
FRY,VF-2 Esprit,VF2,L,CAT-F
LOCKHEED MARTIN,Lightning II (F-35B),VF35,M,CAT-E
VULCANAIR,Mission,VF60,L,CAT-F
AVIAKIT,Vega 3000,VG3T,L,CAT-F
PERCIVAL,K-1 Vega Gull,VGUL,L,CAT-F
VALTION,Viima,VIMA,L,CAT-F
VIPER,ViperJet,VIPJ,L,CAT-F
PAXMAN'S,Viper,VIPR,L,CAT-F
PRO-COMPOSITES,Vision,VISI,L,CAT-F
COMPOSIT AIRPLANES,Viva,VIVA,L,CAT-F
SKYSTAR,Kitfox Vixen,VIX,L,CAT-F
AMAX,Vixen,VIXN,L,CAT-F
CIRRUS,VK-30 Cirrus,VK3P,L,CAT-F
CIRRUS,VK-30 Cirrus (turbine),VK3T,L,CAT-F
VANESSA AIR,VL-3,VL3,L,CAT-F
VOL MEDITERRANI,Esqual,VM1,L,CAT-F
F+W EMMEN,Venom,VNOM,M,CAT-F
ICP,Ventura,VNTR,L,CAT-F
VOLAIRCRAFT,Volaire 1050,VO10,L,CAT-F
VOLANTE,Volante Two,VOL2,L,CAT-F
EVANS,Volksplane,VP2,L,CAT-F
VASHON,Ranger R7,VR7,L,CAT-F
EGVOYAGER,VR-202,VR20,L,CAT-F
AMERICAN,Vision,VSON,L,CAT-F
VULCANAIR,AP-68TP-600 Viator,VTOR,L,CAT-F
RANS,Venterra,VTRA,L,CAT-F
QUESTAIR,M-20 Venture,VTUR,L,CAT-F
EVEKTOR,VUT-100 Cobra,VUT1,L,CAT-F
RUTAN,32 VariViggen,VVIG,L,CAT-F
WILDEN,VoWi-10,VW10,L,CAT-F
WITTMAN,V-Witt,VWIT,L,CAT-F
WOLF,W-11 Boredom Fighter,W11,L,CAT-F
WEATHERLY,201,W201,L,CAT-F
WEATHERLY,620BTG,W62T,L,CAT-F
WASSMER,Super 4,WA40,L,CAT-F
WASSMER,Baladou,WA41,L,CAT-F
WASSMER,Prestige,WA42,L,CAT-F
WASSMER,Atlantic,WA50,L,CAT-F
WASSMER,WA-81 Piranha,WA80,L,CAT-F
WACO,9,WAC9,L,CAT-F
WACO,IBA,WACA,L,CAT-F
WACO,EGC,WACC,L,CAT-F
WACO,D,WACD,L,CAT-F
WACO,HRE Aristocrat,WACE,L,CAT-F
WACO OHIO,UMF,WACF,L,CAT-F
WACO,G,WACG,L,CAT-F
WACO,JWM,WACM,L,CAT-F
WACO,AVN,WACN,L,CAT-F
WACO,E (GXE),WACO,L,CAT-F
WACO,RPT,WACT,L,CAT-F
SONEX,Waiex,WAIX,L,CAT-F
MARTIN,272,WB57,M,CAT-E
DEAN-WILSON,Whitney Boomerang,WBOO,L,CAT-F
GRUMMAN,Wildcat,WCAT,L,CAT-F
WINDEXAIR,Windex,WDEX,L,CAT-F
WAR,Vought F4U Corsair,WF4U,L,CAT-F
WAR,Focke-Wulf 190,WFOC,L,CAT-F
WAR,Hawker Sea Fury,WFUR,L,CAT-F
WENDT,WH-1 Traveler,WH1,L,CAT-F
WHATLEY,Special,WHAT,L,CAT-F
WHITE LIGHTNING,WLAC-1 White,WHIL,L,CAT-F
GROVE,Whisper,WHIS,L,CAT-F
PHILLIPS & POWIS,Whitney Straight,WHIT,L,CAT-F
SCALED,White Knight Two,WHK2,M,TBC
SCALED,318 White Knight,WHKN,M,CAT-F
JAVELIN,Wichawk,WICH,L,CAT-F
ULTRALEICHTBAU,WT-01 Wild Thing,WILT,L,CAT-F
WATSON,Windwagon,WIND,L,CAT-F
WINDECKER,Eagle,WINE,L,CAT-F
COMMONWEALTH (1),Wirraway,WIRR,L,CAT-F
WHISPER,Whisper,WISP,L,CAT-F
MILLER (2),WM-2,WM2,L,CAT-F
WOODS,Woody Pusher,WOPU,L,CAT-F
WAR,Curtiss P-40 Kittyhawk,WP40,L,CAT-F
WAR,Republic P-47,WP47,L,CAT-F
SPRING,WS-202 Sprint,WS22,L,CAT-F
AAK,Wasp,WSP,L,CAT-F
AEROSPOOL,Dynamic,WT9,L,CAT-F
WHITE,WW-1 Der Jäger D-9,WW1,L,CAT-F
IAI,1123 Westwind,WW23,M,CAT-F
IAI,Westwind (1124),WW24,M,CAT-F
WAR,Mitsubishi Zero,WZER,L,CAT-F
ROBIN,X-4,X4,L,CAT-F
NORTHROP,X-47B,X47B,M,None
XTREMEAIR,XA-41,XA41,L,CAT-F
XTREMEAIR,XA-42,XA42,L,CAT-F
RAJ HAMSA,XA-85 X-Air LS,XA85,L,CAT-F
RAJ HAMSA,X-AIR F Gumnam,XAIR,L,CAT-F
LIBERTY (2),XL-2,XL2,L,CAT-F
SONEX,Xenos,XNOS,L,CAT-F
HARBIN,Y-11,Y11,L,CAT-F
YAKOVLEV,Yak-112,Y112,L,CAT-F
HARBIN,Harbinger,Y12,L,CAT-F
HARBIN,Aircar,Y12F,M,TBC
YAKOVLEV,Yak-130,Y130,M,CAT-F
YAKOVLEV,Yak-18T,Y18T,L,CAT-F
XIAN,Y-20 Kunpeng,Y20,H,TBC
YAKOVLEV,Yak-3,YAK3,L,CAT-F
YAKOVLEV,Yak-9,YAK9,L,CAT-F
NORTH AMERICAN,NJ Yale,YALE,L,CAT-F
ARROW (2),Yarrow Arrow,YARR,L,CAT-F
SGAU,Yastreb,YAST,L,CAT-F
CHASLE,YC-122 Tourbillon,YC12,L,CAT-F
YAKOVLEV,Yak-11,YK11,L,CAT-F
YAKOVLEV,Yak-12,YK12,L,CAT-F
YAKOVLEV,Yak-18A,YK18,L,CAT-F
YAKOVLEV,Yak-28,YK28,M,CAT-E
YAKOVLEV,Yak-32,YK30,L,CAT-F
YAKOVLEV,Yak-38,YK38,M,CAT-F
YAKOVLEV,Yak-40,YK40,M,CAT-E
YAKOVLEV,Yak-42,YK42,M,CAT-D
YAKOVLEV,Yak-50,YK50,L,CAT-F
YAKOVLEV,Yak-52,YK52,L,CAT-F
YAKOVLEV,Yak-53,YK53,L,CAT-F
YAKOVLEV,Yak-54,YK54,L,CAT-F
YAKOVLEV,Yak-55,YK55,L,CAT-F
YAKOVLEV,Yak-58,YK58,L,CAT-F
BOEING,451 Scout,YL15,L,CAT-F
NAMC (1),YS-11,YS11,M,CAT-E
MURPHY,Yukon,YUKN,L,CAT-F
SHUYA,Yunona,YUNO,L,CAT-F
SOKO-CNIAR,NJ-22 Orao,YURO,M,CAT-F
ZLIN,Z-22 Junak,Z22,L,CAT-F
ZLIN,Z-26 Trener,Z26,L,CAT-F
MORAVAN,Z-237 Cmelák,Z37P,L,CAT-F
MORAVAN,Z-137 Agro Turbo,Z37T,L,CAT-F
ZLIN,Z-42,Z42,L,CAT-F
ZLIN,Safir 43,Z43,L,CAT-F
ZLIN,Z-50,Z50,L,CAT-F
KEUTHAN,Zephyr 2,ZEP2,L,CAT-F
ATEC,122 Zephyr,ZEPH,L,CAT-F
MITSUBISHI,A6M Zero,ZERO,L,CAT-F
APPLEBAY,Zia,ZIA,L,CAT-F
TAI,ZIU,ZIU,L,CAT-F
BUL,Zùlù,ZULU,L,CAT-F
HALL,WH-4 HARPOON,WH4,L,CAT-F
AGUSTAWESTLAND,AW-609,B609,M,TBC
BERIEV,Be-12 Tchaika,BE12,M,CAT-E
BERIEV,Be-200 Altair,BER2,M,CAT-D
BERIEV,Albatross,BER4,M,CAT-D
CANADAIR,A-10 Catalina,CAT,M,CAT-E
CANADAIR,CL-215,CL2P,M,CAT-E
