Manufacturer,Model,ICAO Type Designator,ICAO Legacy WTC,RECAT-EU WTC
GAME COMPOSITES,GB-1 GameBird,GB1,L,CAT-F
BEETS,Special,GBSP,L,CAT-F
TEMCO,Swift,GC1,L,CAT-F
MILES,M-65 Gemini,GEMI,L,CAT-F
IFB,E-Genius,GENI,L,CAT-F
AERO SERVICES,Guêpe,GEPE,L,CAT-F
GROB,GF-200,GF20,L,CAT-F
SCALED,311 Global Flyer,GFLY,M,CAT-F
BOMBARDIER,BD-700 Global 5000,GL5T,M,CAT-E
BOMBARDIER,BD-700 Global 6000,GL6T,M,CAT-E
BOMBARDIER,BD-700 Global,GL7T,M,CAT-E
GLOSTER,Gladiator,GLAD,L,CAT-F
STODDARD-,Glasair,GLAS,L,CAT-F
RAYTHEON,Sentinel,GLEX,M,CAT-E
GULFSTREAM,G-1159 Gulfstream 2,GLF2,M,CAT-E
GULFSTREAM,G-1159A Gulfstream 3,GLF3,M,CAT-E
GULFSTREAM,Gulfstream,GLF4,M,CAT-E
GULFSTREAM,Gulfstream,GLF5,M,CAT-E
GULFSTREAM,Gulfstream G650,GLF6,M,CAT-E
NEW GLASTAR,Sportsman 2+2,GLSP,L,CAT-F
STODDARD-,SH-4 GlaStar,GLST,L,CAT-F
STODDARD-,Turbine Glasair,GLTU,L,CAT-F
YALO,Gniady,GM01,L,CAT-F
INTRACOM,Viper,GM17,L,CAT-F
IBIS (2),Grand Magic,GMGC,L,CAT-F
HAWKER SIDDELEY,Gnat,GNAT,L,CAT-F
TECNAM,Golf,GOLF,L,CAT-F
GOAIR,Trainer,GOTR,L,CAT-F
JIHLAVAN,Skyleader GP One,GP1,L,CAT-F
PEREIRA,GP-4,GP4,L,CAT-F
EXCLUSIVE,Grand 51,GR51,L,CAT-F
LUNDY,Graflite,GRAF,L,CAT-F
GRIFFON AERO,Griffon,GRFN,L,CAT-F
CANADA AIR RV,Griffin,GRIF,L,CAT-F
AEROTEK (3),Turbo Grizzly,GRIZ,L,CAT-F
SLIPSTREAM,Revelation,GSIS,L,CAT-F
GROB,G-180 SPn Utility Jet,GSPN,L,CAT-F
AERO SERVICES,Super Guepard,GUEP,L,CAT-F
AEROMOT,AMT-600 Guri,GURI,L,CAT-F
REMOS,GX,GX,L,CAT-F
GARDAN,GY-100 Bagheera,GY10,L,CAT-F
MARANDA,BM-4,GY20,L,CAT-F
CAB,GY-30 Supercab,GY30,L,CAT-F
SUD,GY-80 Horizon,GY80,L,CAT-F
HEINKEL,He-111,H111,M,CAT-F
HB-AIRCRAFT,Fledger,H202,L,CAT-F
HB-FLUGTECHNIK,Tornado,H204,L,CAT-F
HB-FLUGTECHNIK,HB-207 Alfa,H207,L,CAT-F
HAWKER SIDDELEY,HS-125-1,H25A,M,CAT-F
RAYTHEON,Hawker 800,H25B,M,CAT-F
RAYTHEON,Hawker 1000,H25C,M,CAT-F
HOFFMANN,H-40,H40,L,CAT-F
HINDUSTAN,Basant,HA31,L,CAT-F
HAWKER BEECHCRAFT,4000 Hawker Horizon,HA4T,M,CAT-E
SINDLINGER,HH-1 Hawker,HAHU,L,CAT-F
MCDONNELL,EAV-8 Matador,HAR,M,CAT-F
BRITISH AEROSPACE,Hawk,HAWK,M,CAT-F
BRDITSCHKA,Hobbyliner (HB-21),HB21,L,CAT-F
HB-FLUGTECHNIK,HB-23 Hobbyliner,HB23,L,CAT-F
BRDITSCHKA,HB-3,HB3,L,CAT-F
GRUMMAN,Hellcat,HCAT,L,CAT-F
HUREL-DUBOIS,HD-34,HD34,M,CAT-D
HONDA,HondaJet,HDJT,L,CAT-F
STEWART (2),Headwind,HEAD,L,CAT-F
DE HAVILLAND,Heron,HERN,L,CAT-F
MBB,HFB-320 Hansa,HF20,M,CAT-F
HIRTH,Hi-27 Acrostar,HI27,L,CAT-F
JUST,Highlander,HIGH,L,CAT-F
HAWKER,Hind,HIND,L,CAT-F
LAMBACH,HL-2 Replica,HL2,L,CAT-F
HALBERSTADT,D-4 Replica,HLD4,L,CAT-F
MIGNET,HM-380,HM38,L,CAT-F
NICOLLIER,Menestrel 2,HN70,L,CAT-F
WALLERKOWSKI,Hornisse,HORN,L,CAT-F
FISHER AERO,Horizon,HORZ,L,CAT-F
HISTORICAL AIRCRAFT,PZL P-11C,HPZL,L,CAT-F
ROBIN,HR-100 President,HR10,L,CAT-F
ROBIN,Acrobin,HR20,L,CAT-F
AAK,Hornet,HRNT,L,CAT-F
HARMON (2),Rocket,HROC,L,CAT-F
IAI,Heron,HRON,L,CAT-F
HISTORICAL AIRCRAFT,Ryan Trainer,HRYA,L,CAT-F
HINDUSTAN,HJT-16 Kiran,HT16,L,CAT-F
HINDUSTAN,HT-2,HT2,L,CAT-F
HINDUSTAN,Deepak,HT32,L,CAT-F
HINDUSTAN,HTT-34,HT34,L,CAT-F
HINDUSTAN,HJT-36 Sitara,HT36,L,CAT-F
HINDUSTAN,HTT-40,HT40,L,CAT-F
SHENYANG SAILPLANE,HU-1 Seagull,HU1,L,CAT-F
SHENYANG SAILPLANE,HU-2 Petrel,HU2,L,CAT-F
HUMMEL,Hummel Bird,HUML,L,CAT-F
AEROTEK (2),Hummingbird,HUMM,L,CAT-F
HAWKER,Hunter,HUNT,M,CAT-F
HAWKER,Sea Hurricane,HURI,L,CAT-F
TAI,Hürkus,HURK,L,CAT-F
CHRISTEN,A-1 Husky,HUSK,L,CAT-F
P&M AVIATION,HypR,HYPR,L,CAT-F
ILYUSHIN,Il-103,I103,L,CAT-F
ILYUSHIN,Il-114,I114,M,CAT-E
AISA,I-115,I115,L,CAT-F
AISA,I-11B Peque,I11B,L,CAT-F
POLIKARPOV,I-153,I153,L,CAT-F
POLIKARPOV,I-15bis,I15B,L,CAT-F
POLIKARPOV,I-16,I16,L,CAT-F
PZL-MIELEC,I-22 Iryda,I22,M,CAT-F
PZL-SWIDNIK,I-23 Manager,I23,L,CAT-F
INTERAVIA,I-3,I3,L,CAT-F
IANNOTTA,I-66 San Francisco,I66,L,CAT-F
ICA,IAR-828,I828,L,CAT-F
DINFIA,Ranquel,IA46,L,CAT-F
FMA,IA-50 Guarani 2,IA50,M,CAT-F
FMA,IA-51 Tehuelche,IA51,L,CAT-F
FMA,IA-58 Pucará,IA58,L,CAT-F
LMAASA,AT-63 Pampa,IA63,L,CAT-F
ISAACS,Fury,IFUR,L,CAT-F
ILYUSHIN,Il-14,IL14,M,CAT-E
ILYUSHIN,Il-20,IL18,M,CAT-D
ILYUSHIN,Il-28,IL28,M,CAT-E
ILYUSHIN,Il-38,IL38,M,CAT-D
ILYUSHIN,Il-62,IL62,H,CAT-C
ILYUSHIN,Il-76,IL76,H,CAT-C
ILYUSHIN,Il-86,IL86,H,CAT-C
ILYUSHIN,Il-96,IL96,H,CAT-B
IMPULSE,Impulse,IMPU,L,CAT-F
INPAER,Conquest,INCQ,L,CAT-F
INPAER,Excel,INEC,L,CAT-F
INPAER,Explorer,INEX,L,CAT-F
ION,Ion,ION,L,CAT-F
IPE,IPE-06 Curucaca,IP06,L,CAT-F
IPE,IPE-010,IP10,L,CAT-F
IPAI,Tuca,IP26,L,CAT-F
IPE,IPE-06A,IP6A,L,CAT-F
NEIVA,EMB-201 Ipanema,IPAN,L,CAT-F
ICA,IAR-821,IR21,L,CAT-F
ICA,IAR-826,IR22,L,CAT-F
ICA,IAR-823,IR23,L,CAT-F
